team,stadium,city,latitude,longitude,venue_id
Arizona Diamondbacks,Chase Field,Phoenix,33.4455,-112.0667,15
Atlanta Braves,Truist Park,Cumberland,33.8908,-84.4678,4705
Athletics,Sutter Health Park,Sacramento,38.5802,-121.5133,2529
Baltimore Orioles,Camden Yards,Baltimore,39.2838,-76.6217,2
Boston Red Sox,Fenway Park,Boston,42.3467,-71.0972,3
Chicago Cubs,Wrigley Field,Chicago,41.9484,-87.6553,3153
Chicago White Sox,Rate Field,Chicago,41.8299,-87.6338,4
Cincinnati Reds,Great American Ball Park,Cincinnati,39.0975,-84.5061,2602
Cleveland Guardians,Progressive Field,Cleveland,41.4962,-81.6852,5
Colorado Rockies,Coors Field,Denver,39.7559,-104.9942,19
Detroit Tigers,Comerica Park,Detroit,42.339,-83.0485,2394
Houston Astros,Daikin Park,Houston,29.7573,-95.3555,2392
Kansas City Royals,Kauffman Stadium,Kansas City,39.0517,-94.4803,7
Los Angeles Angels,Angel Stadium,Anaheim,33.8003,-117.8827,1
Los Angeles Dodgers,Dodger Stadium,Los Angeles,34.0739,-118.24,6956
Miami Marlins,loanDepot Park,Miami,25.7781,-80.2196,4169
Milwaukee Brewers,American Family Field,Milwaukee,43.028,-87.9712,32
Minnesota Twins,Target Field,Minneapolis,44.9817,-93.2776,3312
New York Mets,Citi Field,New York,40.7571,-73.8458,3289
New York Yankees,Yankee Stadium,New York,40.8296,-73.9262,3313
Philadelphia Phillies,Citizens Bank Park,Philadelphia,39.9061,-75.1665,2681
Pittsburgh Pirates,PNC Park,Pittsburgh,40.4469,-80.0057,31
San Diego Padres,Petco Park,San Diego,32.7076,-117.157,2680
San Francisco Giants,Oracle Park,San Francisco,37.7786,-122.3893,2395
Seattle Mariners,T-Mobile Park,Seattle,47.5914,-122.3325,680
St. Louis Cardinals,Busch Stadium,St. Louis,38.6226,-90.1928,2889
Tampa Bay Rays,Tropicana Field,St. Petersburg,27.7683,-82.6534,12
Texas Rangers,Globe Life Field,Arlington,32.7473,-97.0842,5325
Toronto Blue Jays,Rogers Centre,Toronto,43.6414,-79.3894,14
Washington Nationals,Nationals Park,Washington,38.873,-77.0074,3309
